N_unmapped	3638484	3638484	3638484
N_multimapping	4984612	4984612	4984612
N_noFeature	7750064	38753633	38553094
N_ambiguous	2014967	88328	90075
LOC115497387	15	6	9
LOC100221041	146	587	595
DCBLD2	2709	1800	1945
CMSS1	1507	773	769
FILIP1L	6508	3130	3414
TBC1D23	2843	1418	1425
NIT2	6974	3410	3564
TOMM70	4039	2050	1990
LNP1	0	0	0
TMEM45A	165	80	85
TFG	6817	3442	3375
ABI3BP	62	34	28
IMPG2	107	58	49
SENP7	1827	902	942
LOC115495942	0	13	4
LOC100219101	79	51	66
TXNL4B	1178	604	627
TRMT10C	2448	1235	1233
PCNP	11013	5396	5617
ZBTB11	1699	822	878
RPL24	5429	2645	2788
CEP97	1590	745	845
NXPE3	2874	1405	1469
NFKBIZ	406	213	193
ZPLD1	19	7	12
LOC115496929	0	0	0
LOC115496946	0	0	0
TRNAI-AAU	0	0	0
LOC115496954	0	0	0
LOC115496959	0	0	0
LOC115496968	0	0	0
LOC115496986	0	0	0
ALCAM	5236	2532	2704
CBLB	1646	842	804
LOC115497062	175	82	93
LOC115497073	2	2	0
LOC115495955	0	0	0
BBX	2988	1478	1510
CD47	14977	7374	7612
LOC115497436	19	198	193
IFT57	2325	1346	1440
HHLA2	1792	1006	974
MYH15	207	132	166
CIP2A	133	76	57
SH2D1B	13	3	10
LOC101233451	0	0	0
HJURP	107	62	45
GUCA1C	0	0	0
LOC115497582	2	2	0
C1H3orf85	0	0	0
LOC115497585	0	0	0
NECTIN3	1133	555	578
CD96	24	6	18
PLCXD2	1018	493	525
PHLDB2	2044	1017	1027
ABHD10	2193	1121	1072
TAGLN3	20008	9905	10104
TMPRSS7	318	168	150
LOC100228717	125	78	48
C1H3orf52	6	1	5
LOC115497973	0	0	0
LOC115497877	4	0	4
LOC100221949	23	8	15
LTN1	3804	1947	1859
RWDD2B	1063	537	549
USP16	1005	511	517
CCT8	13199	6724	6475
MAP3K7CL	1	0	1
LOC115498285	0	0	0
BACH1	1922	981	943
PAXBP1	2951	1481	1472
IL18BP	69	33	36
RNF121	1523	734	817
LOC115498571	335	156	208
NUMA1	2104	1016	1089
LAMTOR1	346	198	148
TOMT	1	0	1
ANAPC15	2967	1479	1488
LOC100220024	0	0	0
