N_unmapped	3673636	3673636	3673636
N_multimapping	3983377	3983377	3983377
N_noFeature	6581245	31282542	31193306
N_ambiguous	1435207	73317	74343
LOC115497387	3	1	2
LOC100221041	176	733	633
DCBLD2	3815	2432	2577
CMSS1	1501	803	714
FILIP1L	5397	2748	2665
TBC1D23	3266	1701	1565
NIT2	6318	3276	3044
TOMM70	4263	2150	2119
LNP1	0	0	0
TMEM45A	164	72	92
TFG	7093	3612	3481
ABI3BP	116	64	52
IMPG2	12	2	11
SENP7	2431	1262	1178
LOC115495942	0	3	6
LOC100219101	217	141	124
TXNL4B	1056	551	554
TRMT10C	1845	968	880
PCNP	9466	4687	4780
ZBTB11	1367	708	662
RPL24	5188	2539	2649
CEP97	2980	1459	1524
NXPE3	1449	728	721
NFKBIZ	318	184	134
ZPLD1	16	10	6
LOC115496929	0	0	0
LOC115496946	0	0	0
TRNAI-AAU	0	0	0
LOC115496954	0	0	0
LOC115496959	0	0	0
LOC115496968	1	1	0
LOC115496986	0	0	0
ALCAM	5643	2842	2807
CBLB	1381	650	731
LOC115497062	180	113	73
LOC115497073	3	0	3
LOC115495955	0	0	0
BBX	1700	913	787
CD47	10045	5012	5040
LOC115497436	25	272	254
IFT57	3119	1747	1915
HHLA2	1339	744	721
MYH15	145	118	104
CIP2A	337	169	168
SH2D1B	5	1	4
LOC101233451	0	0	0
HJURP	178	98	80
GUCA1C	9	3	6
LOC115497582	0	0	2
C1H3orf85	7	3	6
LOC115497585	0	0	0
NECTIN3	970	512	458
CD96	2	0	2
PLCXD2	999	528	471
PHLDB2	1328	685	643
ABHD10	3125	1582	1543
TAGLN3	20054	9980	10074
TMPRSS7	75	41	34
LOC100228717	22	17	5
C1H3orf52	0	0	0
LOC115497973	0	0	0
LOC115497877	1	0	1
LOC100221949	37	14	23
LTN1	2296	1101	1195
RWDD2B	1069	541	540
USP16	1203	596	619
CCT8	16516	8419	8097
MAP3K7CL	17	8	9
LOC115498285	1	0	1
BACH1	2105	1034	1071
PAXBP1	3026	1539	1487
IL18BP	48	21	27
RNF121	1531	725	812
LOC115498571	115	57	67
NUMA1	1204	620	587
LAMTOR1	194	99	95
TOMT	0	0	0
ANAPC15	3302	1640	1662
LOC100220024	0	0	1
INPPL1	246	171	143
PHOX2A	0	33	35
CLPB	2690	1361	1330
STARD10	7459	3799	3660
