ARRDC3
ATP5F1A
BTF3
CDC37L1
CHD1
CKMT2
CZH18orf32
FCHO2
FEM1C
GNAQ
GOLPH3
HINT1
HNRNPK
KCMF1
KIF2A
LOC115491281
LOC116806857
LOC116806890
LOC116806897
LOC116806916
LOC116806932
LOC116806946
LOC116806948
LOC116806960
LOC116806968
LOC121468351
LOC121468354
LOC121468357
LOC121468358
LOC121468366
LOC121468367
LOC121468369
LOC121468376
MAP1B
MIER3
MRPS36
NIPBL
PAIP1
PRKAA1
RASA1
RFX3
RPL17
RPL37
SLC25A51
SMAD2
SMAD4
SNX18
SPIN1
SREK1
SUB1
TNPO1
UBAP2
UBE2R2
VCP
ZFAND5
ZFR
ZNF131
ZSWIM6
